"","source","target","weight"
"1","health","care",170
"2","health","decisions",120
"3","health","don",52
"4","health","colin",50
"5","health","citing",50
"6","health","httpcoqndhkphh",46
"7","health","politician",52
"8","health","tampa",1
"9","health","male",52
"10","health","believe",45
"11","health","jobs",46
"12","health","endorsed",50
"13","health","policy",46
"14","health","foreign",46
"15","health","thank",1
"16","health","washington",20
"17","care","decisions",119
"18","care","don",52
"19","care","colin",50
"20","care","citing",50
"21","care","httpcoqndhkphh",46
"22","care","politician",52
"23","care","tampa",1
"24","care","male",52
"25","care","believe",45
"26","care","jobs",46
"27","care","endorsed",50
"28","care","policy",46
"29","care","foreign",46
"30","care","thank",1
"31","care","washington",20
"32","decisions","don",52
"33","decisions","politician",52
"34","decisions","tampa",1
"35","decisions","male",52
"36","decisions","believe",45
"37","decisions","thank",1
"38","decisions","washington",20
"39","sun","chasing",90
"40","sun","tomthewanted",71
"41","sun","httpcoricbye",68
"42","sun","tampa",10
"43","sun","trip",7
"44","sun","waiting",1
"45","sun","time",1
"46","sun","day",7
"47","sun","crowd",10
"48","americaforward","richmond",7
"49","americaforward","vegas",16
"50","americaforward","choose",24
"51","americaforward","trip",16
"52","americaforward","waiting",4
"53","americaforward","hours",2
"54","americaforward","mitt",2
"55","americaforward","people",20
"56","americaforward","believe",2
"57","americaforward","jobs",3
"58","americaforward","day",1
"59","americaforward","win",1
"60","americaforward","obama",3
"61","americaforward","ready",2
"62","americaforward","future",20
"63","americaforward","plan",9
"64","americaforward","stop",4
"65","americaforward","crowd",7
"66","chasing","tomthewanted",71
"67","chasing","httpcoricbye",68
"68","sitting","waiting",2
"69","sitting","voted",33
"70","tomthewanted","httpcoricbye",68
"71","tomthewanted","god",1
"72","don","sign",22
"73","don","politician",52
"74","don","male",52
"75","don","hours",22
"76","don","mourdock",4
"77","don","day",1
"78","don","white",2
"79","don","plan",1
"80","don","richard",4
"81","don","washington",20
"82","don","night",3
"83","colin","citing",52
"84","colin","httpcoqndhkphh",46
"85","colin","announces",38
"86","colin","mitt",1
"87","colin","voting",1
"88","colin","people",2
"89","colin","jobs",46
"90","colin","voted",6
"91","colin","endorsed",66
"92","colin","endorses",33
"93","colin","win",1
"94","colin","obama",6
"95","colin","policy",48
"96","colin","endorsement",45
"97","colin","foreign",48
"98","colin","plan",5
"99","colin","american",1
"100","colin","cbsthismorning",37
"101","colin","barack",1
"102","colin","change",8
"103","sign","choose",38
"104","sign","banning",39
"105","sign","delighted",38
"106","sign","bill",39
"107","sign","hours",22
"108","sign","please",1
"109","richmond","eye",42
"110","richmond","waiting",42
"111","richmond","httpcocicyfgux",38
"112","richmond","literally",42
"113","richmond","campaign",1
"114","richmond","day",2
"115","richmond","win",1
"116","richmond","crowd",5
"117","richmond","virginia",1
"118","severely","disaster",49
"119","severely","views",49
"120","severely","conservative",56
"121","severely","mitt",48
"122","severely","mourdock",6
"123","severely","white",48
"124","severely","endorsement",6
"125","vegas","tampa",9
"126","vegas","trip",31
"127","vegas","waiting",1
"128","vegas","day",20
"129","vegas","help",1
"130","vegas","obama",2
"131","vegas","stop",6
"132","vegas","getting",5
"133","vegas","thank",4
"134","vegas","benghazi",2
"135","vegas","night",5
"136","vegas","workers",8
"137","choose","banning",38
"138","choose","delighted",39
"139","choose","bill",38
"140","choose","people",14
"141","choose","future",14
"142","citing","httpcoqndhkphh",46
"143","citing","jobs",46
"144","citing","endorsed",50
"145","citing","endorses",2
"146","citing","policy",46
"147","citing","foreign",46
"148","httpcoqndhkphh","jobs",46
"149","httpcoqndhkphh","endorsed",46
"150","httpcoqndhkphh","policy",46
"151","httpcoqndhkphh","foreign",46
"152","politician","male",52
"153","politician","washington",20
"154","eye","waiting",42
"155","eye","httpcocicyfgux",38
"156","eye","literally",42
"157","eye","time",2
"158","eye","american",2
"159","disaster","views",49
"160","disaster","conservative",49
"161","disaster","mitt",48
"162","disaster","white",48
"163","tampa","trip",16
"164","tampa","waiting",3
"165","tampa","support",2
"166","tampa","time",1
"167","tampa","day",19
"168","tampa","obama",1
"169","tampa","stop",1
"170","tampa","crowd",15
"171","tampa","look",1
"172","trip","waiting",1
"173","trip","support",1
"174","trip","jobs",1
"175","trip","time",1
"176","trip","day",21
"177","trip","help",1
"178","trip","obama",1
"179","trip","hard",1
"180","trip","night",5
"181","views","conservative",49
"182","views","mitt",48
"183","views","mourdock",1
"184","views","white",48
"185","conservative","mitt",48
"186","conservative","mourdock",6
"187","conservative","white",48
"188","conservative","endorsement",6
"189","banning","delighted",38
"190","banning","bill",39
"191","banning","please",1
"192","delighted","bill",38
"193","waiting","httpcocicyfgux",38
"194","waiting","literally",42
"195","waiting","mitt",1
"196","waiting","day",1
"197","waiting","obama",1
"198","waiting","stop",4
"199","waiting","crowd",5
"200","announces","endorsement",38
"201","announces","cbsthismorning",36
"202","httpcocicyfgux","literally",38
"203","literally","obama",1
"204","bill","please",1
"205","male","washington",20
"206","hours","help",1
"207","hours","ready",25
"208","hours","thank",25
"209","mitt","support",1
"210","mitt","people",1
"211","mitt","endorsed",1
"212","mitt","time",2
"213","mitt","white",47
