"","source","target","weight"
"1","georgelopez","votes",55
"2","georgelopez","ftp",57
"3","georgelopez","respect",55
"4","georgelopez","self",56
"5","georgelopez","hit",55
"6","georgelopez","culture",55
"7","georgelopez","latino",55
"8","georgelopez","fuck",20
"9","georgelopez","puto",21
"10","georgelopez","vote",2
"11","georgelopez","nation",1
"12","georgelopez","hey",20
"13","georgelopez","free",1
"14","votes","ftp",55
"15","votes","respect",55
"16","votes","self",55
"17","votes","hit",55
"18","votes","culture",55
"19","votes","latino",55
"20","votes","paulryanvp",1
"21","votes","america",1
"22","votes","election",3
"23","ftp","respect",55
"24","ftp","self",55
"25","ftp","hit",55
"26","ftp","culture",55
"27","ftp","latino",55
"28","ftp","fuck",1
"29","ftp","puto",1
"30","ftp","hey",1
"31","respect","self",55
"32","respect","hit",55
"33","respect","culture",55
"34","respect","latino",55
"35","respect","foreign",1
"36","respect","policy",1
"37","respect","vote",1
"38","respect","lost",1
"39","respect","love",1
"40","self","hit",55
"41","self","culture",55
"42","self","latino",55
"43","self","vote",1
"44","self","nation",1
"45","hit","culture",55
"46","hit","latino",55
"47","culture","latino",55
"48","fuck","puto",21
"49","fuck","jobs",1
"50","fuck","mitt",2
"51","fuck","china",1
"52","fuck","hey",21
"53","fuck","plan",1
"54","dictated","nations",23
"55","dictated","freed",23
"56","dictated","dictators",23
"57","dictated","america",24
"58","dictated","debates",2
"59","dictated","strong",1
"60","dictated","lynndebate",2
"61","dictated","tcot",1
"62","nations","freed",23
"63","nations","dictators",23
"64","nations","america",23
"65","nations","debates",2
"66","nations","strong",1
"67","nations","lynndebate",2
"68","nations","tcot",1
"69","nations","free",1
"70","freed","dictators",22
"71","freed","america",23
"72","freed","debates",2
"73","freed","strong",1
"74","freed","lynndebate",2
"75","freed","tcot",1
"76","puto","hey",21
"77","dictators","america",23
"78","dictators","debates",2
"79","dictators","strong",1
"80","dictators","lynndebate",2
"81","dictators","tcot",1
"82","dictators","free",1
"83","attacking","agenda",18
"84","attacking","cantaffordmore",15
"85","attacking","country",1
"86","attacking","lynndebate",1
"87","attacking","getting",1
"88","paulryanvp","agenda",1
"89","paulryanvp","america",13
"90","paulryanvp","cantaffordmore",11
"91","paulryanvp","debates",1
"92","paulryanvp","mitt",3
"93","paulryanvp","vote",1
"94","paulryanvp","won",1
"95","paulryanvp","strong",1
"96","paulryanvp","country",20
"97","paulryanvp","nation",2
"98","paulryanvp","stand",12
"99","paulryanvp","lynndebate",1
"100","paulryanvp","tcot",1
"101","paulryanvp","proud",13
"102","paulryanvp","leader",10
"103","paulryanvp","election",1
"104","paulryanvp","national",1
"105","paulryanvp","job",1
"106","paulryanvp","lead",2
"107","paulryanvp","look",2
"108","agenda","america",1
"109","agenda","cantaffordmore",17
"110","agenda","won",1
"111","agenda","strong",1
"112","agenda","country",1
"113","agenda","lynndebate",1
"114","agenda","getting",1
"115","agenda","record",1
"116","america","cantaffordmore",9
"117","america","debates",7
"118","america","romneyresponse",2
"119","america","vote",1
"120","america","won",1
"121","america","home",9
"122","america","strong",11
"123","america","country",9
"124","america","time",1
"125","america","httpcobxknlqp",2
"126","america","nation",2
"127","america","lie",2
"128","america","lynndebate",4
"129","america","tcot",2
"130","america","lost",1
"131","america","people",1
"132","america","election",1
"133","america","lead",8
"134","america","look",1
"135","cantaffordmore","debates",8
"136","cantaffordmore","jobs",10
"137","cantaffordmore","foreign",2
"138","cantaffordmore","policy",2
"139","cantaffordmore","romneyresponse",7
"140","cantaffordmore","leadership",7
"141","cantaffordmore","won",1
"142","cantaffordmore","home",14
"143","cantaffordmore","israel",2
"144","cantaffordmore","strong",9
"145","cantaffordmore","world",2
"146","cantaffordmore","country",10
"147","cantaffordmore","httpcobxknlqp",7
"148","cantaffordmore","lie",7
"149","cantaffordmore","stand",10
"150","cantaffordmore","proud",10
"151","cantaffordmore","leader",10
"152","cantaffordmore","people",1
"153","cantaffordmore","national",2
"154","cantaffordmore","plan",2
"155","cantaffordmore","real",6
"156","cantaffordmore","americans",6
"157","cantaffordmore","lead",8
"158","cantaffordmore","pay",6
"159","cantaffordmore","taxes",7
"160","cantaffordmore","record",6
"161","cantaffordmore","fewer",6
"162","debates","jobs",2
"163","debates","foreign",2
"164","debates","policy",2
"165","debates","mitt",2
"166","debates","romneyresponse",9
"167","debates","vote",1
"168","debates","leadership",1
"169","debates","won",1
"170","debates","iran",5
"171","debates","israel",1
"172","debates","world",1
"173","debates","american",2
"174","debates","httpcobxknlqp",9
"175","debates","nation",3
"176","debates","lie",9
"177","debates","lynndebate",3
"178","debates","tcot",5
"179","debates","job",1
"180","debates","plan",2
"181","debates","gone",1
"182","debates","lead",1
"183","debates","gov",1
"184","debates","look",1
"185","debates","love",1
"186","debates","presidential",2
"187","debates","record",5
"188","jobs","mitt",1
"189","jobs","romneyresponse",2
"190","jobs","home",7
"191","jobs","china",11
"192","jobs","world",6
"193","jobs","country",1
"194","jobs","american",7
"195","jobs","httpcobxknlqp",2
"196","jobs","lie",2
"197","jobs","lost",6
"198","jobs","job",1
"199","jobs","plan",2
"200","jobs","pay",7
"201","jobs","taxes",7
"202","jobs","fewer",7
"203","foreign","policy",11
"204","foreign","mitt",1
"205","foreign","vote",1
"206","foreign","leadership",1
"207","foreign","won",1
"208","foreign","world",2
"209","foreign","country",1
"210","foreign","tcot",2
"211","foreign","lost",1
"212","foreign","national",3
"213","foreign","lead",1
"214","foreign","military",1
"215","foreign","presidential",1
"216","policy","mitt",1
"217","policy","vote",1
"218","policy","won",1
"219","policy","world",2
"220","policy","country",1
"221","policy","tcot",2
"222","policy","national",3
"223","policy","lead",1
"224","policy","presidential",1
"225","mitt","won",1
"226","mitt","china",1
"227","mitt","country",1
"228","mitt","american",1
"229","mitt","time",1
"230","mitt","nation",2
"231","mitt","hey",1
"232","mitt","stand",3
"233","mitt","lynndebate",1
"234","mitt","tcot",2
"235","mitt","proud",2
"236","mitt","job",1
"237","mitt","plan",1
"238","mitt","lead",2
"239","mitt","look",2
"240","mitt","presidential",1
"241","romneyresponse","iran",1
"242","romneyresponse","httpcobxknlqp",9
"243","romneyresponse","lie",9
"244","romneyresponse","tcot",1
"245","romneyresponse","plan",2
"246","romneyresponse","record",5
"247","vote","won",1
"248","vote","nation",1
"249","vote","war",1
"250","vote","lost",1
"251","vote","election",2
"252","vote","love",1
"253","leadership","world",1
"254","leadership","american",1
"255","leadership","lynndebate",3
"256","leadership","people",1
"257","leadership","real",7
"258","leadership","americans",7
"259","leadership","lead",1
"260","leadership","military",1
"261","won","american",1
"262","won","nation",1
