,term,obama,romney,total,attr_importance,max,belong
1718,president,117,44,161,0.027102437,117,obama
1552,obama,101,33,134,0.02492618,101,obama
2250,tonight,84,24,108,0.023705741,84,obama
1754,proudofobama,105,1,106,0.09014126,105,obama
75,america,21,71,92,0.011776645,71,romney
344,chief,89,2,91,0.064939423,89,obama
391,commander,89,1,90,0.069132326,89,obama
830,georgelopez,0,83,83,0.072973934,83,romney
2393,votes,0,59,59,0.051061117,59,romney
805,ftp,0,57,57,0.049266411,57,romney
1851,respect,0,57,57,0.049266411,57,romney
1965,self,0,57,57,0.049266411,57,romney
935,hit,0,56,56,0.048370823,56,romney
468,culture,0,55,55,0.047476407,55,romney
1249,latino,0,55,55,0.047476407,55,romney
1688,policy,41,12,53,0.013217054,41,obama
1504,nations,0,47,47,0.020313951,47,romney
1635,paulryanvp,5,32,37,0.013480328,32,romney
2118,strongerwithobama,34,0,34,0.029753041,34,obama
294,candidate,28,4,32,0.012933219,28,obama
1757,proved,30,0,30,0.026186068,30,obama
760,fire,29,0,29,0.025297171,29,obama
807,fuck,0,29,29,0.024622784,29,romney
1358,magicjohnson,29,0,29,0.025297171,29,obama
715,expertise,28,0,28,0.024409407,28,obama
553,dictated,0,25,25,0.021173554,25,romney
556,dictators,1,24,25,0.01602588,24,romney
2286,trust,25,0,25,0.021752882,25,obama
801,freed,0,23,23,0.019455424,23,romney
1766,puto,0,23,23,0.01859797,23,romney
39,agenda,1,20,21,0.012819818,20,romney
128,attacking,0,18,18,0.015178832,18,romney
176,bayonets,17,0,17,0.013843507,17,obama
1204,katyperry,17,0,17,0.01471791,17,obama
1958,secure,14,0,14,0.012097981,14,obama
2356,vegas,14,0,14,0.012097981,14,obama
319,celebrate,13,0,13,0.011226853,13,obama
1927,safer,13,0,13,0.011226853,13,obama
2117,stronger,13,0,13,0.011226853,13,obama
2424,wednesday,13,0,13,0.011226853,13,obama
81,amp,92,50,142,0,92,both
1895,romney,82,37,119,0,82,both
495,debate,55,59,114,0,59,both
299,cantaffordmore,48,64,112,0,64,both
499,debates,48,49,97,0,49,both
1179,jobs,39,25,64,0,39,both
788,foreign,44,13,57,0,44,both
1449,mitt,22,22,44,0,22,both
1898,romneyresponse,30,12,42,0,30,both
2389,vote,30,12,42,0,30,both
1259,leadership,26,15,41,0,26,both
2460,won,27,10,37,0,27,both
944,home,18,18,36,0,18,both
1146,iran,14,21,35,0,21,both
1153,israel,24,10,34,0,24,both
347,china,18,14,32,0,18,both
2116,strong,13,18,31,0,18,both
2468,world,16,15,31,0,16,both
440,country,4,26,30,0,26,both
76,american,19,10,29,0,19,both
2231,time,18,11,29,0,18,both
971,httpcobxknlqp,18,9,27,0,18,both
1502,nation,18,8,26,0,18,both
926,hey,3,22,25,0,22,both
1289,lie,15,10,25,0,15,both
2088,stand,12,13,25,0,13,both
1350,lynndebate,8,16,24,0,16,both
2177,tcot,7,17,24,0,17,both
2402,war,18,5,23,0,18,both
800,free,15,7,22,0,15,both
1752,proud,8,14,22,0,14,both
1257,leader,7,14,21,0,14,both
1330,lost,5,15,20,0,15,both
1646,people,9,11,20,0,11,both
647,election,6,13,19,0,13,both
1503,national,13,6,19,0,13,both
1899,romneyryan,10,9,19,0,10,both
1178,job,9,9,18,0,9,both
1667,plan,11,7,18,0,11,both
1796,real,9,9,18,0,9,both
77,americans,9,8,17,0,9,both
835,getting,13,4,17,0,13,both
854,gone,2,15,17,0,15,both
1256,lead,4,13,17,0,13,both
1636,pay,9,8,17,0,9,both
2175,taxes,7,10,17,0,10,both
868,gov,12,4,16,0,12,both
1322,look,5,11,16,0,11,both
1335,love,8,8,16,0,8,both
1435,military,14,2,16,0,14,both
